"sample_id_prefix","owning_oq","why"
"axis_scale","OQ-AXISMARGINAL","Successor question. These rows' descriptions name OQ-AXISSTRUCT, which closed; the marginal-cost error they actually show is OQ-AXISMARGINAL's."
"daxis_","OQ-AXISMARGINAL","Drive-axis batch; the trailing-underscore name bug is fixed and the file awaits re-submission."
"aoidef","OQ-AOIDEFITEMIZE","Successor question. OQ-AOIDEF closed; what is still open about an AOI definition's cost is its itemization."
"predefprobe_","OQ-BUILDFAIL-OPEN","Predefined-structure probes that fail to convert. OQ-PREDEFINED closed; a file that will not build belongs to the build-failure register until it does."
"modulerack_bender","OQ-MODULEIO","Real-rack module file, conversion failure."
"almd_realtext","OQ-ALARMDEF","Alarm-definition family."
"cptrd_","OQ-CPTREALDEST","REAL-destination CPT family."
"cptwide_","OQ-CPTNARROW","SINT/INT -> DINT widening family."
"eventtask_","OQ-EVENTTRIGGER","EVENT task trigger-source family."
"instrfirst_","OQ-BUILDFAIL-OPEN","Single-instruction first-pass files that fail to build; MAPC/CROUT are the known cases."
"jsr_midchain","OQ-JSRFOLD","JSR/target-routine folding family."
"st_instr_","OQ-STEXPR","Structured-Text expression family."
"unweighted_","OQ-VERIFINSTR","Unweighted-instruction probes."
"oq:OQ-AXISSTRUCT","OQ-AXISMARGINAL","Closed question. Its errored rows show a per-axis marginal error, which is OQ-AXISMARGINAL's."
"oq:OQ-AOIDEF","OQ-AOIDEFITEMIZE","Closed question. What is still open about an AOI definition's cost is its itemization."
"oq:OQ-PREDEFINED","OQ-BUILDFAIL-OPEN","Closed question. A predefined-structure file that will not build belongs to the build-failure register until it does."
"oq:OQ-AOIORPHAN","OQ-AOIDEFITEMIZE","Closed question, but its 40 errored rows are still unexplained and the AOI definition cost is where they land."
"oq:OQ-ALARMCOND","OQ-ALARMDEF","Closed question; the live alarm question is the definition-level one."
"oq:OQ-SHELLSCALE","OQ-SHELLCONST","Closed question; the live shell question is the constant residuals."
"oq:OQ-AOIBOOLPACK","OQ-AOIBOOLPACK-PAIRING","Closed question, superseded by the pairing thread."
"oq:OQ-BRANCHDEPTH","OQ-BUILDFAIL-OPEN","Closed question; any remaining errored row is a build failure."
"oq:OQ-EMPTYROUTINE","OQ-SHELLCONST","Closed question; empty-routine cost is part of the shell constants."
"oq:OQ-TASKOVERHEAD","OQ-SHELLCONST","Closed question; task overhead is part of the shell constants."
"oq:OQ-MIXEDUDT","OQ-UDTMEMBERNAME","Closed question; the live UDT question is member naming."
"oq:OQ-CAPTURERACE","OQ-BUILDFAIL-OPEN","Closed question; a raced capture that errored is a build failure until recaptured."
"oq:OQ-STSIZING","OQ-STEXPR","Closed question; the live ST question is expression cost."
"oq:OQ-BLOCKBYTE","OQ-COMPOSITESCALE","Closed 2026-09-12 (a block is a byte on the active platform). The 50 composite_realistic_*_r2 rows that named it are composite-scale rows -- 2-5% under-predicted, error counts scaling with file size -- and belong to OQ-COMPOSITESCALE. A sample_id prefix cannot express this set without also capturing composite rows that route correctly elsewhere, so it is an alias on the closed question instead."
"aoi_logic_scale","OQ-AOIINTERNALLOGIC","The AOI-internal-logic weighting is fitted entirely to these rows and they captured with build errors, so they belong to the question they invalidate. They were routed to OQ-AOIDEFITEMIZE by the 'aoidef' prefix, which is a different question about how a definition's cost is itemized."
"aoi_multiroutine","OQ-AOIINTERNALLOGIC","Same sweep as aoi_logic_scale: these are its 2-internal-routine arm and the source of the 'routine count does not matter' conclusion. Previously OQ-BUILDFAIL-OPEN, which loses the connection to the weighting they validate."
